symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
MET,15,0,15,56,77,7,49,18,13,48,21,35,16,5,49,10,18,22,48,55,64,0,2,0
MFN1,14,9,10,25,11,14,9,6,8,14,7,13,6,20,12,20,8,10,11,8,10,31,11,9
MFN2,39,39,47,26,25,30,39,35,35,42,26,38,29,53,16,27,38,61,32,35,29,26,39,30
MFNG,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,50,0,0,0,0
MGRN1,5,9,8,4,4,11,6,11,4,5,3,2,7,4,7,4,9,6,4,6,11,6,4,5
MKNK1,3,2,4,9,4,2,4,4,2,2,4,2,3,1,3,3,3,5,4,2,8,5,2,2
MKNK2,5,25,10,16,49,11,14,16,13,15,43,21,7,26,20,26,18,11,16,44,33,20,6,18
MLST8,12,19,13,8,6,13,11,18,16,10,15,6,15,10,9,8,12,11,8,9,13,11,9,11
MLYCD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
MMP2,36,0,32,1,0,15,0,33,0,14,0,0,0,1,0,563,30,0,94,0,0,0,21,0
MOB1A,20,27,20,59,38,19,24,21,20,38,20,36,20,28,34,21,29,18,20,15,24,15,21,12
MOB1B,8,5,5,8,12,7,3,3,2,5,3,4,3,9,5,4,5,6,4,3,4,3,7,4
MRAS,0,9,2,6,3,7,1,2,0,4,0,4,0,8,4,4,4,9,5,0,1,3,8,0
MST1,1,1,1,1,4,1,1,0,0,1,1,0,1,0,0,2,0,0,2,0,2,3,0,1
MST1R,0,0,0,7,14,0,10,0,0,19,28,0,1,1,5,0,10,0,13,20,21,14,0,1
MTOR,12,12,12,11,7,9,7,11,9,13,8,15,7,20,9,9,12,19,9,10,16,9,10,16
MUC5B,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MYB,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,6,1,6,0,0
MYC,10,57,4,13,99,11,77,49,60,13,103,41,31,11,202,11,19,27,30,286,87,18,28,101
MYD88,8,0,12,10,5,14,16,11,6,21,8,3,1,8,9,16,3,15,14,10,10,16,3,6
MYL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYL6,114,64,76,217,37,122,133,64,92,145,97,137,166,85,42,158,245,81,93,46,55,167,59,57
MYL6B,12,12,23,15,13,15,10,7,7,8,8,11,17,11,25,13,9,11,12,17,10,6,12,10
MYL9,9,132,2,28,6,10,1,11,0,141,0,44,5,13,11,26,7,0,3,4,11,30,0,0
MYLK,1,1,0,11,0,1,0,0,0,0,0,0,0,2,0,20,7,0,16,0,0,0,1,0
MYLK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBL1,4,1,2,2,3,6,7,3,1,9,1,1,0,3,5,33,9,23,8,2,17,6,18,0
NCK1,7,9,6,13,8,8,6,18,7,8,7,6,6,9,7,13,11,8,10,8,7,9,10,8
NCK2,25,11,8,16,10,33,14,13,6,15,5,5,26,13,10,10,24,58,8,9,19,5,21,13
NCOA1,3,3,2,5,4,2,4,2,2,5,2,3,5,5,6,4,6,3,3,6,6,4,3,5
NCOA2,4,7,3,9,6,5,4,4,1,8,4,1,2,11,9,4,4,5,4,3,11,7,3,18
NCOA3,9,5,7,4,11,10,4,4,7,30,10,12,19,12,9,24,17,7,4,8,14,13,6,8
NCOR1,10,12,9,5,5,7,12,5,8,7,9,19,8,13,3,9,6,5,4,15,8,5,4,18
NCOR2,12,16,12,12,10,11,17,33,13,14,19,11,9,12,7,6,17,7,11,22,49,8,11,21
NCSTN,69,41,33,12,20,54,15,43,34,26,46,38,29,28,20,41,24,44,38,17,20,48,49,16
NEO1,2,13,1,10,13,0,8,2,2,5,10,7,5,17,13,1,10,4,3,10,25,5,2,4
NF1,4,6,5,2,2,5,5,2,4,7,4,7,2,17,2,5,6,3,1,6,10,7,4,10
NF2,10,7,10,18,9,17,8,0,8,23,4,8,3,38,7,5,28,8,8,6,5,5,11,8
NFATC1,1,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
NFATC2,0,0,30,1,2,45,0,0,0,0,0,0,4,1,0,0,0,12,0,1,1,0,10,0
NFATC3,3,5,4,2,3,3,2,2,4,3,0,2,1,3,5,2,4,2,3,15,4,2,1,1
NFATC4,2,9,0,0,0,0,0,0,0,0,0,1,2,4,0,9,0,3,0,0,4,4,0,0
NFKB1,20,11,17,6,6,13,12,9,8,6,6,15,5,9,12,11,15,11,5,5,7,3,6,7
NFKB2,12,9,10,13,26,5,4,26,6,17,25,63,5,21,21,13,7,9,8,3,12,11,4,5
NFKBIA,12,10,5,16,12,7,24,50,13,22,25,86,14,62,21,27,25,11,25,7,49,18,8,23
NFKBIB,11,11,11,8,12,13,7,10,13,16,11,15,27,26,11,11,9,7,6,15,5,8,13,4
NGF,0,0,0,0,0,0,0,4,0,5,0,1,0,0,0,2,3,0,1,0,0,0,0,0
NGFR,9,0,20,3,5,175,0,0,0,0,0,0,0,0,0,1,0,28,0,1,9,0,1,0
NKD1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9,0,0,0,231,7,0,0,0
NKD2,0,1,0,0,4,0,10,1,1,0,2,0,12,4,5,34,0,0,1,37,21,0,1,1
NLK,7,1,5,4,4,5,3,2,2,4,2,4,3,5,4,3,3,6,2,5,8,7,6,8
NLRC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
