symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ABCB8,1,0,0,1,0,1,1,1,1,0,-1,1,1,0,1,1,-1,0,1,1,0,-1,1,1
ABCB9,0,0,0,1,0,0,1,0,1,0,1,1,1,-1,1,-1,0,0,1,0,0,1,0,1
ABCB10,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,-1,0,1,1,0,0,1,1,0
ABCB11,0,0,-2,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,-1,1,0
ABCC1,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ABCC2,-1,0,0,1,1,-1,0,-1,1,0,0,0,0,1,0,-1,-1,0,-1,0,0,1,-1,0
ABCC3,0,0,0,0,1,0,0,-1,1,0,1,0,1,-1,0,-1,0,0,1,0,0,1,0,1
ABCC4,1,0,1,1,0,-1,0,1,0,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-2
ABCC5,1,0,-1,2,0,1,0,-1,-1,0,0,1,0,1,0,1,0,1,1,0,0,2,1,0
ABCC6,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ABCC6P1,0,0,0,-1,0,-1,0,-1,1,1,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ABCC6P2,0,0,0,-1,0,0,0,-1,1,1,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ABCC8,0,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,1,1,-1,-1,-1,0
ABCC9,0,0,1,-1,0,0,1,1,0,1,-1,1,0,1,0,-1,-1,0,-1,2,0,1,1,1
ABCC10,-1,0,-1,2,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,1,-1,0,0,0,-1,1
ABCC11,0,0,0,-1,0,0,0,-1,1,1,-1,0,0,-1,0,0,1,-1,0,1,0,-1,-1,-1
ABCC12,0,0,0,-1,0,0,0,-1,1,1,-1,0,0,-1,0,0,1,-1,-2,1,0,-1,-1,-1
ABCC13,0,0,-1,-1,0,-1,0,1,0,-1,-2,-1,0,2,-1,1,1,0,1,0,0,1,-1,1
ABCD2,0,0,1,1,0,0,1,0,1,0,-1,1,0,1,0,-1,1,0,-1,0,0,1,1,1
ABCD3,0,0,-1,0,0,-1,0,-1,-1,1,-1,0,1,0,1,1,1,1,1,0,-1,-1,-1,0
ABCD4,0,0,-1,-1,0,0,0,-1,1,0,-1,0,0,1,0,-1,0,-1,1,0,0,1,0,0
ABCE1,0,0,-1,-1,0,-1,0,1,0,-1,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,-1,0
ABCF1,1,0,-1,2,-1,0,0,-1,-1,-1,-1,0,0,1,1,0,0,1,-1,0,0,0,-1,0
ABCF2,1,0,0,1,0,1,1,1,1,0,-1,1,1,0,1,1,-1,0,1,1,0,-1,1,1
ABCF3,1,0,-1,2,0,1,0,-1,-1,0,0,1,0,1,0,1,0,1,1,-1,0,2,1,0
ABCG1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,1,1,-1,0,0,1,-1,0,0,-1,1
ABCG2,0,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,1,0,0,-1,-1,1
ABCG4,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,-1,1,1,1,-1,1
ABCG5,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,-1,1,0
ABCG8,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,-1,1,0
ABHD1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,-1,0,0,-1,1,0
ABHD2,0,0,0,2,-1,1,1,0,1,0,1,0,0,-1,1,1,0,1,1,0,0,-1,0,1
ABHD3,0,0,-1,1,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,1,0,-1,-1,-1,0
ABHD4,0,0,-1,0,0,0,0,1,1,-1,1,1,0,-1,0,-1,0,-1,0,0,0,-1,0,0
ABHD5,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,0,-1,1,-1,1
ABHD6,0,0,0,1,0,1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,1
ABHD8,-1,0,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,1
ABHD10,0,0,1,2,1,1,0,1,0,0,0,1,1,1,-1,1,0,1,1,0,0,1,1,0
ABHD11,1,0,0,1,0,0,1,0,1,0,1,1,-1,-1,0,1,-1,0,1,1,0,1,1,1
ABHD11-AS1,1,0,0,1,0,0,1,0,1,0,1,1,-1,-1,0,1,-1,0,1,1,0,1,1,1
ABHD12,0,0,0,1,0,-1,0,-1,1,1,1,1,1,1,1,1,0,1,-1,1,-1,0,1,1
