gene_name,R1262106,R1287407,R1489314,R1531359,R1617674,R1687970,R1710143,R1822146,R2079629,R2111091,R2516394,R2575548,R2624931,R2678902,R2731324,R2731764,R2803490,R3408213,R3477250,R3535957,R3739042,R3740754,R3741788,R3757880,R3874626,R4119160,R4147686,R4276053,R4531942,R4917253,R5177066,R5211056,R5334541,R5369295,R5449861,R5546461,R5766881,R5965031,R6114572,R6132310,R6759986,R6847727,R6862468,R7025378,R7295303,R7738727,R7791442,R7876628,R7881801,R7959406,R8444624,R8457289,R8626395,R8704458,R8845676,R8937093,R9088015,R9286126,R9354381,R9489952,R9596785,R9680160,R9781891,R9936070
ACSBG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSBG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL3,0.046396,0.043247,0.050316,0.058371,0.049531,0.062939,0.047646,0.058403,0.042335,0.053311,0.048804,0.050746,0.044785,0.052092,0.051599,0.034994,0.047085,0.046435,0.046856,0.041338,0.058553,0.038419,0.054778,0.056904,0.048546,0.037736,0.043896,0.042232,0.046362,0.051203,0.059126,0.025401,0.049636,0.033038,0.040256,0.060073,0.032419,0.049388,0.044329,0.044701,0.042137,0.051034,0.064389,0.062274,0.040779,0.052389,0.067803,0.052446,0.050486,0.041786,0.048197,0.044241,0.051126,0.046702,0.049179,0.054687,0.049214,0.052906,0.052539,0.04456,0.04398,0.052445,0.054092,0.038506
ACSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL5,0.822806,0.821508,0.89265,0.882445,0.86038,0.844627,0.89649,0.861915,0.923932,0.832157,0.856719,0.835738,0.851226,0.820427,0.923277,0.868063,0.863457,0.869312,0.906739,0.875155,0.830941,0.79571,0.86713,0.867492,0.875242,0.86086,0.920233,0.896296,0.857417,0.870055,0.87312,0.88993,0.848755,0.906786,0.899844,0.797737,0.827777,0.845277,0.868033,0.876012,0.902957,0.825321,0.839054,0.894006,0.803055,0.835012,0.906654,0.868313,0.868906,0.7777,0.925263,0.880806,0.854976,0.890855,0.864853,0.859965,0.851418,0.857766,0.881843,0.86829,0.871394,0.867619,0.89774,0.883018
ACSL6,0.0609043333333333,0.0554636666666666,0.061535,0.05471,0.0549453333333333,0.0623113333333333,0.0874556666666666,0.0489426666666666,0.0564753333333333,0.0490043333333333,0.0434313333333333,0.0418156666666666,0.0491466666666666,0.0672516666666666,0.0456346666666666,0.044414,0.0449716666666666,0.0399696666666666,0.0579833333333333,0.05159,0.0497183333333333,0.0457203333333333,0.052369,0.0847446666666666,0.0681959999999999,0.0493396666666666,0.0664886666666666,0.04732,0.03914,0.06635,0.0764856666666666,0.0466753333333333,0.0743593333333333,0.047832,0.0558629999999999,0.0634606666666666,0.0375216666666666,0.0476109999999999,0.0583776666666666,0.0512276666666666,0.0487126666666666,0.0699123333333333,0.0777273333333333,0.041721,0.0458963333333333,0.0459343333333333,0.0764456666666666,0.0548243333333333,0.0600256666666666,0.040173,0.0601293333333333,0.0676076666666666,0.055765,0.052208,0.0635106666666666,0.0596806666666666,0.0549016666666666,0.0653463333333333,0.064957,0.0447803333333333,0.0691456666666666,0.0525583333333333,0.0619433333333333,0.0361536666666666
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.006669,0.0,0.008508,0.007477,0.005397,0.010391,0.0,0.008261,0.008517,0.012604,0.002045,0.00574,0.0,0.004175,0.004482,0.005223,0.008468,0.009271,0.012968,0.0,0.018482,0.007891,0.004731,0.00832,0.008835,0.001698,0.000696,0.013473,0.003379,0.012947,0.008078,0.0,0.0,0.002078,0.005655,0.000334,0.007862,0.009875,0.01265,0.012943,0.00639,0.003552,0.006114,0.008726,0.007101,0.008317,0.016111,0.01089,0.002131,0.009672,0.009954,0.000738,0.008251,0.000217,0.005907,0.010017,0.007537,0.010007,0.013048,0.0,0.013745,0.003183,0.015989,0.0
ACTG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
