symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
PRKCB,0,0,0,0,0,0,3,0,0,0,0,0,1,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRKCD,8,5,6,2,1,12,5,11,9,12,17,8,7,5,5,7,9,14,18,5,6,3,6,16,15,13,8,3,4,6,29,19,39,8,12,9,11,14,2,15,51,17
PRKCE,1,1,15,1,6,1,1,1,1,5,2,0,0,0,0,18,1,2,1,2,0,1,1,1,1,0,1,2,1,1,3,3,3,1,1,4,0,2,1,5,1,4
PRKCG,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PRKCI,8,14,28,8,13,16,14,11,12,14,17,11,24,12,28,14,11,12,19,6,6,35,67,29,17,10,16,6,10,11,8,9,6,18,9,8,16,22,16,4,8,31
PRKCQ,0,3,0,0,1,1,1,0,1,0,0,0,0,6,1,0,0,0,2,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1
PRKCZ,1,1,1,0,0,3,2,4,9,2,0,0,6,0,2,0,4,1,2,1,0,4,5,2,3,3,1,0,0,0,4,4,2,3,0,0,4,3,0,2,3,4
PRKD1,2,1,6,0,1,1,1,0,1,1,0,7,1,0,0,4,0,0,0,0,2,0,0,0,3,0,7,5,1,2,6,4,4,2,11,0,0,0,14,5,9,1
PRKD2,4,3,3,3,3,7,6,9,11,4,4,3,8,6,4,9,7,4,11,3,3,6,5,7,3,3,9,3,7,10,3,4,2,7,5,6,5,4,8,5,5,9
PRKG1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKG2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0
PRMT1,38,58,34,31,47,36,28,45,51,41,33,30,49,23,53,61,63,44,37,49,57,25,34,66,49,63,54,51,69,26,22,35,27,38,25,43,44,22,26,63,52,24
PRR5,3,1,2,0,2,3,1,2,5,0,0,1,1,1,1,0,1,0,1,0,1,1,1,2,1,0,3,0,0,0,0,1,1,2,0,0,2,1,0,2,2,2
PSEN1,3,8,6,7,4,11,10,6,10,7,6,3,6,3,6,4,7,6,6,6,5,7,10,4,5,18,3,4,3,7,6,4,4,11,5,6,7,11,6,3,4,8
PSEN2,6,7,5,4,7,6,7,4,5,4,14,1,6,3,2,0,7,7,4,5,7,12,3,2,3,16,5,5,3,5,12,16,13,10,5,12,5,10,2,28,8,3
PSENEN,14,28,8,17,14,18,13,7,12,17,13,7,8,8,8,7,16,10,11,10,9,5,19,18,8,10,8,6,11,11,8,6,6,11,6,10,6,11,6,10,15,9
PTAFR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCH1,0,0,0,1,0,0,0,1,2,0,1,0,1,1,1,1,0,1,1,1,0,11,0,0,0,0,1,1,1,0,1,1,1,0,2,3,1,0,1,0,1,0
PTCH2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,0,0,0,5,0,0
PTEN,6,6,7,3,8,9,9,10,9,6,6,3,4,4,9,5,6,8,5,7,13,11,11,8,5,0,4,3,1,0,8,4,4,4,8,22,10,8,6,4,2,7
