gene_name,R1042011,R1218460,R1407047,R1660726,R1743384,R1924801,R2045909,R2237803,R2373966,R2455930,R2494273,R2543886,R2880377,R2881301,R3143439,R3176125,R3368249,R3811781,R3922205,R3978789,R4260171,R4527133,R4641987,R5234179,R5374583,R5541746,R5656511,R5739959,R5850046,R5907586,R5927382,R5973191,R6001210,R6058053,R6108690,R6231758,R6267541,R6292415,R6392007,R6665276,R6698302,R6743664,R6751504,R6765868,R6879714,R7143693,R7325259,R7483736,R7796947,R7911202,R7915228,R8044591,R8155560,R8293796,R8466373,R8759568,R8774534,R9072353,R9101940,R9127940,R9330569,R9419876,R9598418,R9904978
MAP3K20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K3,0.1154324,0.1319036,0.1538476,0.1309408,0.1364738,0.1066954,0.1327082,0.1630376,0.1388541999999999,0.1484352,0.144379,0.1260496,0.0994666,0.1406453999999999,0.136571,0.1413106,0.1580493999999999,0.1288252,0.1469112,0.1421435999999999,0.1802552,0.1370105999999999,0.1302218,0.1105194,0.1468874,0.1399686,0.1097696,0.1380518,0.1294524,0.1431208,0.1273313999999999,0.1390514,0.1155342,0.1610074,0.1434942,0.1589696,0.1553083999999999,0.1407232,0.1266598,0.1434028,0.1234106,0.128799,0.1668521999999999,0.142531,0.1262357999999999,0.1410956,0.1331285999999999,0.1490114,0.1198306,0.1657624,0.1385106,0.1327782,0.1405216,0.141454,0.1257576,0.1422368,0.1434686,0.14839,0.1471044,0.0980442,0.1486622,0.1518076,0.1387242,0.1288116
MAP3K4,0.2537955,0.254856,0.28158075,0.25312225,0.26469225,0.238412,0.25881775,0.2625685,0.253812,0.26840175,0.27972975,0.2585705,0.25994225,0.25590475,0.24610075,0.25476975,0.23550225,0.25509325,0.2555375,0.27244075,0.26054275,0.24088025,0.24840675,0.27267275,0.2546395,0.25546625,0.2710707499999999,0.26819975,0.24803375,0.25950275,0.25827325,0.251093,0.266269,0.262549,0.24791075,0.2393275,0.2575055,0.2494555,0.2672255,0.24478875,0.252421,0.26142125,0.2743675,0.267193,0.2459005,0.25818125,0.237269,0.2656295,0.2477975,0.26401625,0.2390614999999999,0.24753525,0.2739435,0.26153325,0.25429675,0.2536025,0.2497605,0.26639575,0.24056675,0.24364125,0.25765475,0.2637367499999999,0.26447075,0.26484625
MAP3K5,0.0714713999999999,0.0613105999999999,0.06927,0.060459,0.0531482,0.0771639999999999,0.047542,0.071672,0.0710926,0.0642848,0.0652761999999999,0.0525258,0.0823858,0.0705918,0.0485843999999999,0.0575296,0.05608,0.0546246,0.0744602,0.0649278,0.0611701999999999,0.0757238,0.0723136,0.0524634,0.0645948,0.0810436,0.0658758,0.0423076,0.0713694,0.0745422,0.0567887999999999,0.0611522,0.0585446,0.0722396,0.0571477999999999,0.077453,0.0613602,0.0591917999999999,0.0547256,0.0710938,0.0739756,0.079066,0.0800914,0.0741512,0.0459664,0.0464508,0.0669112,0.0639715999999999,0.0620703999999999,0.078885,0.0496718,0.1057652,0.0801542,0.076997,0.0826498,0.0484026,0.0542432,0.053987,0.0615702,0.052194,0.062973,0.0608546,0.08258,0.0572089999999999
MAP3K6,0.6748848571428571,0.6741641428571429,0.657523142857143,0.6767957142857143,0.6698685714285714,0.6893732857142857,0.6883924285714286,0.6525914285714285,0.7096791428571428,0.6667717142857142,0.6760831428571429,0.6711088571428572,0.6855607142857142,0.6944565714285714,0.7064865714285714,0.6605667142857143,0.6715388571428572,0.6933038571428571,0.6290554285714285,0.6746465714285714,0.684809857142857,0.7057737142857142,0.6932587142857143,0.6840485714285715,0.6357587142857143,0.6664401428571428,0.6889877142857143,0.6889557142857142,0.6569875714285713,0.689508,0.6853334285714286,0.6858657142857142,0.6973418571428571,0.6883758571428571,0.6920318571428571,0.6269704285714285,0.6303531428571428,0.6931752857142858,0.6491881428571429,0.6927991428571428,0.6909848571428572,0.6590177142857143,0.701957,0.6995641428571429,0.6878351428571429,0.685354,0.6811891428571428,0.6588595714285714,0.6875220000000001,0.6596585714285714,0.6860205714285714,0.6334582857142858,0.7150904285714285,0.7002741428571427,0.6892368571428572,0.6738867142857143,0.6460827142857143,0.6441832857142857,0.7055638571428571,0.709879,0.6965285714285715,0.6866199999999999,0.6828057142857142,0.694845
MAP3K7,0.1082273333333333,0.1387606666666666,0.1075073333333333,0.106538,0.1052753333333333,0.1188863333333333,0.106269,0.1256333333333333,0.1294036666666666,0.145276,0.1390296666666667,0.1047593333333333,0.1462933333333333,0.0933816666666666,0.117157,0.1190356666666666,0.1219103333333333,0.1021576666666666,0.1430663333333333,0.0963733333333333,0.084395,0.1503333333333333,0.1020789999999999,0.0816786666666666,0.1374189999999999,0.1247456666666666,0.0990396666666666,0.1231796666666666,0.1319826666666666,0.1151,0.1166356666666666,0.109953,0.1149483333333333,0.1337469999999999,0.121414,0.1088953333333333,0.1099756666666666,0.1181499999999999,0.1217376666666666,0.1223353333333333,0.0978166666666666,0.1159493333333333,0.1139869999999999,0.134382,0.1118266666666666,0.1086956666666666,0.140212,0.0980316666666666,0.1163743333333333,0.1048413333333333,0.1280223333333333,0.0983936666666666,0.135433,0.096088,0.133923,0.10436,0.089716,0.1192486666666666,0.1475676666666666,0.141084,0.1275523333333333,0.1132886666666666,0.127917,0.0983196666666666
MAP3K8,0.2527643571428571,0.2291779285714285,0.2483688571428571,0.2708362857142857,0.2328710714285714,0.2427265,0.2450498571428571,0.2699828571428571,0.2480926428571428,0.2644477857142857,0.2695265714285714,0.2213102142857142,0.2412417857142857,0.2582107857142857,0.2553315,0.2391755714285714,0.2378279285714286,0.2573138571428571,0.2336132142857143,0.2360542857142857,0.246178,0.2686517857142857,0.2540274285714285,0.24737,0.233924,0.2502174285714286,0.2327317142857143,0.2639733571428571,0.2518841428571429,0.2476111428571428,0.2272329285714285,0.2561915714285714,0.2597872142857143,0.2504023571428571,0.2588721428571429,0.2400675,0.2483102142857143,0.2611515,0.2471087857142857,0.2453086428571428,0.2541645,0.2518754285714286,0.2493335714285714,0.2666214285714286,0.2652221428571428,0.2455445,0.2412251428571428,0.2478108571428571,0.2466060714285714,0.2575312142857143,0.2623225714285714,0.2128941428571428,0.2550973571428571,0.2461435714285714,0.2559087857142857,0.2358637857142857,0.2369978571428571,0.2387303571428571,0.2615998571428571,0.2489651428571428,0.247465,0.2469919285714285,0.2762872857142857,0.2469704285714285
MAP4K1,0.533128,0.5501065,0.531912,0.5267235,0.556519,0.5652915,0.5692360000000001,0.554738,0.5690585,0.540072,0.535065,0.5286955,0.555488,0.557571,0.559684,0.54647,0.5387069999999999,0.5632325,0.524737,0.5455665,0.5156875,0.555068,0.539264,0.5455814999999999,0.5433695000000001,0.548692,0.573079,0.567181,0.552747,0.5618865,0.5550660000000001,0.540772,0.5404245,0.5586615,0.56233,0.5229965,0.4542865,0.55723,0.5575405,0.563722,0.552278,0.5671245,0.5384835,0.5424395,0.536953,0.5443264999999999,0.559783,0.514443,0.552937,0.512763,0.5452359999999999,0.5569569999999999,0.547401,0.564904,0.5491754999999999,0.513517,0.5392295,0.525028,0.5830745,0.5718825,0.5534585000000001,0.5322475,0.5522064999999999,0.542964
MAP4K2,0.5760215,0.5446934999999999,0.5514950000000001,0.6055055,0.606907,0.59968325,0.5926745,0.5991197500000001,0.5999065,0.6065295,0.6193165,0.59783975,0.5997835,0.6018012500000001,0.62579675,0.59755225,0.59639225,0.62647325,0.570489,0.6095065,0.55640875,0.57445225,0.5752435,0.588617,0.5736885,0.5847249999999999,0.58599125,0.607204,0.603036,0.5830375,0.5881075,0.5834575,0.66435125,0.58860475,0.591437,0.5761864999999999,0.52894275,0.61246875,0.593536,0.60282,0.604406,0.58205375,0.6575055000000001,0.6066185,0.58416625,0.558557,0.6061030000000001,0.55801525,0.570133,0.58626325,0.6011584999999999,0.582111,0.584521,0.604267,0.6195805,0.616412,0.5717525,0.5737335,0.603726,0.6169535,0.576172,0.604936,0.60129425,0.6005485
MAP4K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
