gene_name,R1042011,R1218460,R1407047,R1660726,R1743384,R1924801,R2045909,R2237803,R2373966,R2455930,R2494273,R2543886,R2880377,R2881301,R3143439,R3176125,R3368249,R3811781,R3922205,R3978789,R4260171,R4527133,R4641987,R5234179,R5374583,R5541746,R5656511,R5739959,R5850046,R5907586,R5927382,R5973191,R6001210,R6058053,R6108690,R6231758,R6267541,R6292415,R6392007,R6665276,R6698302,R6743664,R6751504,R6765868,R6879714,R7143693,R7325259,R7483736,R7796947,R7911202,R7915228,R8044591,R8155560,R8293796,R8466373,R8759568,R8774534,R9072353,R9101940,R9127940,R9330569,R9419876,R9598418,R9904978
ACSBG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSBG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL3,0.060344,0.052556,0.058223,0.04317,0.043438,0.046686,0.046617,0.053463,0.036579,0.05694,0.051328,0.054924,0.038945,0.043712,0.044207,0.050093,0.065772,0.043632,0.050911,0.054657,0.05292,0.044194,0.047814,0.039784,0.053575,0.054274,0.048902,0.056001,0.042896,0.045236,0.045478,0.042673,0.043449,0.058197,0.048248,0.047866,0.045869,0.041283,0.058557,0.042972,0.043008,0.049891,0.027086,0.05295,0.058043,0.061129,0.041133,0.041204,0.037703,0.055816,0.050078,0.062726,0.037374,0.048088,0.047072,0.062021,0.044681,0.051373,0.043521,0.047579,0.055653,0.041998,0.056452,0.046869
ACSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL5,0.853028,0.913929,0.858821,0.831233,0.901976,0.84673,0.873451,0.941518,0.801585,0.830771,0.888428,0.870429,0.847729,0.863969,0.848643,0.849695,0.81709,0.854698,0.851988,0.876156,0.889679,0.884579,0.855713,0.887326,0.811726,0.869596,0.85925,0.904128,0.853358,0.874197,0.880503,0.91925,0.915936,0.872276,0.902277,0.890938,0.881915,0.942237,0.879665,0.847148,0.895048,0.832151,0.929768,0.855022,0.902489,0.88775,0.85115,0.855542,0.856091,0.81294,0.873534,0.846115,0.82347,0.865314,0.896525,0.895975,0.824086,0.870228,0.870676,0.848226,0.864353,0.89209,0.898044,0.894343
ACSL6,0.0783096666666666,0.0551476666666666,0.0667529999999999,0.050077,0.04394,0.0469693333333333,0.0425879999999999,0.0713716666666666,0.048754,0.0453123333333333,0.0648606666666666,0.0633866666666666,0.0454543333333333,0.0549066666666666,0.0473903333333333,0.0613903333333333,0.0557936666666666,0.0494333333333333,0.0677286666666666,0.0755863333333333,0.060131,0.045455,0.048316,0.0439853333333333,0.068995,0.06867,0.0581043333333333,0.058993,0.0543056666666666,0.0521159999999999,0.0538266666666666,0.0518676666666666,0.0409516666666666,0.054931,0.0633803333333333,0.0625483333333333,0.0654736666666666,0.0475806666666666,0.0544933333333333,0.0529263333333333,0.054421,0.0579966666666666,0.041822,0.045033,0.06369,0.0502333333333333,0.0508986666666666,0.0526893333333333,0.0478946666666666,0.0524723333333333,0.0819436666666666,0.051591,0.0473113333333333,0.0541663333333333,0.0557666666666666,0.0575206666666666,0.0472286666666666,0.0470099999999999,0.0598193333333333,0.030635,0.0568723333333333,0.0521206666666666,0.0604613333333333,0.0498903333333333
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.007045,0.011886,0.010816,0.002807,0.000871,0.002457,0.007997,0.003071,0.017237,0.008051,0.000373,0.0,0.003079,0.0,0.0,0.005515,0.001689,0.008304,0.007728,0.002617,0.015731,0.0,0.000431,0.007872,0.01202,0.009516,0.001615,0.006545,0.014266,0.021901,0.010092,0.007813,0.0,0.019206,0.004676,0.000649,0.009137,0.003754,0.005058,0.018389,0.010611,0.012094,0.0,0.0,0.005856,0.013465,0.0,0.018166,0.007538,0.00369,0.000255,0.000456,0.005001,0.011842,0.005249,0.019323,0.007826,0.010535,0.007371,0.001028,0.016174,0.008167,0.0,0.012179
ACTG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
