SpNotation,Attention_x,cell_line_name,cell_line_num_x,mean_rank_x,Attention_y,cell_line_num_y,mean_rank_y
sp35,0.028941815650466815,A549/ATCC,2,26,0.012646713686666667,2.0,26.0
sp36,0.038088523892005635,A549/ATCC,2,17,,,
sp37,0.04826803538781817,A549/ATCC,2,10,0.38341926183333325,2.0,4.0
sp38,0.06268989105607406,A549/ATCC,2,6,0.1129382414,2.0,8.0
sp39,0.03684749408394229,A549/ATCC,2,19,,,
sp40,0.060510236612710266,A549/ATCC,2,7,,,
sp41,0.0196133424777934,A549/ATCC,2,38,0.009406283193334,2.0,28.0
sp42,0.051789074568620676,A549/ATCC,2,8,0.08204251121499995,2.0,13.0
sp43,0.04520086701831857,A549/ATCC,2,12,,,
sp44,0.015914851691088007,A549/ATCC,2,47,0.007734510459999982,2.0,32.0
sp45,0.016778564953992443,A549/ATCC,2,46,0.02007301521974999,2.0,23.0
sp46,0.04379039005184425,A549/ATCC,2,13,0.3492244533166666,2.0,5.0
sp47,0.02845600584347144,A549/ATCC,2,27,0.07432530046061901,2.0,14.0
sp48,0.017308828161264195,A549/ATCC,2,43,0.008529329644499975,2.0,30.0
sp1,0.027764969822156843,ACHN,3,30,,,
sp2,0.022355603737161927,ACHN,3,33,0.50472188326,3.0,3.0
sp3,0.030047764823421034,ACHN,3,25,0.0250529429,3.0,20.0
sp4,0.019313081738122476,ACHN,3,39,0.008905438113333317,3.0,28.0
sp5,0.14393665912608694,ACHN,3,1,0.277311828,3.0,8.0
sp6,0.03267858756529346,ACHN,3,24,0.12023981314999999,3.0,11.0
sp7,0.03624863577357141,ACHN,3,21,0.300681551505,3.0,7.0
sp8,0.012039795592303067,ACHN,3,48,0.010054888880000001,3.0,25.0
sp9,0.06429410804213113,ACHN,3,6,,,
sp10,0.03732975630059513,ACHN,3,19,0.12577749669499996,3.0,10.0
sp11,0.07471957398493825,ACHN,3,4,,,
sp12,0.03419121130388348,ACHN,3,22,,,
sp13,0.01880653572730397,ACHN,3,41,0.020859487734999974,3.0,22.0
sp14,0.08845938357389829,ACHN,3,3,,,
sp15,0.02813559129583743,ACHN,3,29,0.13621799633514997,3.0,9.0
sp16,0.02833730419793102,ACHN,3,28,1.0,3.0,1.0
sp17,0.019669423514257243,ACHN,3,38,,,
sp18,0.04926761663679244,ACHN,3,11,,,
sp19,0.03352276872693692,ACHN,3,23,,,
sp20,0.04118613159171223,ACHN,3,15,0.0190787951,3.0,23.0
sp21,0.016288227304194394,ACHN,3,45,0.006892645764124981,3.0,31.0
sp22,0.018849133319146092,ACHN,3,40,0.007272594489999999,3.0,30.0
sp23,0.036863346291999985,ACHN,3,20,0.0209063832,3.0,21.0
sp24,0.09915072552059989,ACHN,3,2,0.4016003455833333,3.0,4.0
sp25,0.02532471858680151,ACHN,3,32,,,
sp26,0.019955471163061206,ACHN,3,36,,,
sp27,0.01977263883101904,ACHN,3,37,,,
sp28,0.020038103786046764,ACHN,3,35,0.02863439423946906,3.0,19.0
sp29,0.017991244245805386,ACHN,3,42,0.09523871271177774,3.0,13.0
sp30,0.03759298581913305,ACHN,3,17,0.015153124723999985,3.0,24.0
sp31,0.05571897324519046,ACHN,3,10,,,
sp32,0.07054102758983051,ACHN,3,5,0.377029645,3.0,5.0
sp33,0.025917697204301253,ACHN,3,31,0.09094402688034875,3.0,14.0
sp34,0.020532392322834866,ACHN,3,34,,,
sp35,0.028767883519901703,ACHN,3,27,0.009861469553333333,3.0,26.0
sp36,0.039209304855508456,ACHN,3,16,,,
sp37,0.045381151862042765,ACHN,3,12,0.5168045152,3.0,2.0
sp38,0.06352028471081479,ACHN,3,7,0.116023379,3.0,12.0
sp39,0.03746750433908652,ACHN,3,18,,,
sp40,0.05991011782186915,ACHN,3,8,0.0437793721,3.0,18.0
sp41,0.015714610266429074,ACHN,3,46,0.00944662805005545,3.0,27.0
sp42,0.05808795363551723,ACHN,3,9,0.08166277549999999,3.0,16.0
sp43,0.04483969552115043,ACHN,3,13,,,
sp44,0.014942234667477619,ACHN,3,47,0.008040534444615366,3.0,29.0
sp45,0.016824353475257903,ACHN,3,44,0.006448981784999987,3.0,32.0
sp46,0.043777846659401626,ACHN,3,14,0.349767515,3.0,6.0
sp47,0.029573670075363406,ACHN,3,26,0.08753015535812497,3.0,15.0
sp48,0.017221171198010515,ACHN,3,43,0.08151333132333331,3.0,17.0
sp1,0.02735553722950979,BT-549,4,28,,,
sp2,0.02179871186271537,BT-549,4,35,1.0,4.0,1.0
sp3,0.036374969558333324,BT-549,4,20,0.025870568599999998,4.0,8.0
sp4,0.022765108022282234,BT-549,4,34,,,
sp5,0.1417305761927536,BT-549,4,1,0.40140693599999994,4.0,2.0
sp6,0.0410703960045652,BT-549,4,16,0.0183096897,4.0,10.0
sp7,0.03291093699714284,BT-549,4,24,,,
sp8,0.01233372280761092,BT-549,4,48,,,
sp9,0.04970153708918031,BT-549,4,10,,,
sp10,0.03644759601761132,BT-549,4,19,,,
sp11,0.07399768178580245,BT-549,4,5,,,
sp12,0.03498169372953397,BT-549,4,21,,,
sp13,0.019020628711656423,BT-549,4,41,0.022410449199999974,4.0,9.0
sp14,0.09276542631220337,BT-549,4,3,,,
sp15,0.025286668621930096,BT-549,4,31,,,
sp16,0.03075114820441378,BT-549,4,26,,,
sp17,0.019355269740024383,BT-549,4,39,,,
